Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0xd253e3b563bf7b8894da2a69db836a4e98e337157564483d8ac72117df355a9d,Success,0x60a06040,13499638,2021-10-27 13:22:24,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,Contract Creation,,0 ETH,$0.00,0.43152305
0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92,Success,0x67c354b5,13499798,2021-10-27 13:54:10,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,9.16298704
0x5189ac29b4d7ed7c1e78423f679f376ac0a2b32158349db84b01677f0608aac8,Success,Borrow All,13499803,2021-10-27 13:55:40,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,3.0919745
0xa43053e945df7a0e407b083a3a1068f11d7e799bbe7dc99e8d8205f5cac2cd68,Success,Borrow All,13499804,2021-10-27 13:55:50,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,4.5817044
0x0e560a840eaa749a9b55f1cae4b48d3e03c6f2060d65fbf66414008c29e77c27,Success,Borrow All,13499807,2021-10-27 13:56:30,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,4.32854664
0x426c4ee29c3bc19ecb036cfedbca095c16847f8b688edaab7b1812577a3ab8a0,Success,Borrow All,13499811,2021-10-27 13:56:58,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,3.93923816
0xfa4f9002a6543bbcb596a6b14690bfb71a14a35d3fc9866cacdf0cd581d7c626,Success,Withdraw Tokens,13499812,2021-10-27 13:57:39,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,0.1501768
0x59a98612d1fc3c8dc2b404258dfa46083a5635a2775659f8de3db18aec1b326c,Success,Borrow All,13499812,2021-10-27 13:57:39,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,1.13596959
0x900d500222342fc7cb17007989e4e864e7e0d1a10289a15c60323e2ed3406cff,Error in Main Txn : Out of gas,Borrow All,13499890,2021-10-27 14:14:48,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,0.89913532
0xb9583254ecd4efca21759e6ed5c8314ea918246d02f0f5fca580d7eb24b4e79c,Success,Borrow All,13499909,2021-10-27 14:19:37,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,1.20767051
0xafd29e7918112de30a8c994f19bb503ee9ce717030b0da43a68e2bd9ae25f86a,Success,Withdraw All Underlying,13499973,2021-10-27 14:36:59,0x24354d31bc9d90f62fe5f2454709c32049cf866b,Cream Finance Flash Loan Exploiter,0x961D2B694D9097f35cfFfa363eF98823928a330d,Cream Finance Exploiter 3,0 ETH,$0.00,0.46206967
